time,x,y,angle
1.3,0.24761,0.248915,-0.17161
1.31,0.25525,0.252463,-0.17424
1.32,0.263064,0.256026,-0.17689
1.33,0.271056,0.259603,-0.17956
1.34,0.279229,0.263194,-0.18225
1.35,0.287584,0.266799,-0.18496
1.36,0.296126,0.270416,-0.18769
1.37,0.304855,0.274045,-0.19044
1.38,0.313776,0.277686,-0.19321
1.39,0.322891,0.281339,-0.196
1.4,0.332203,0.285002,-0.19881
1.41,0.341714,0.288675,-0.20164
1.42,0.351428,0.292358,-0.20449
1.43,0.361346,0.296049,-0.20736
1.44,0.371472,0.299749,-0.21025
1.45,0.38181,0.303457,-0.21316
1.46,0.392361,0.307172,-0.21609
1.47,0.403128,0.310893,-0.21904
1.48,0.414115,0.31462,-0.22201
1.49,0.425324,0.318353,-0.225
1.5,0.436759,0.32209,-0.22801
1.51,0.448422,0.325831,-0.23104
1.52,0.460316,0.329575,-0.23409
1.53,0.472444,0.333321,-0.23716
1.54,0.48481,0.337069,-0.24025
1.55,0.497416,0.340818,-0.24336
1.56,0.510266,0.344568,-0.24649
1.57,0.523362,0.348317,-0.24964
1.58,0.536707,0.352064,-0.25281
1.59,0.550305,0.35581,-0.256
1.6,0.564159,0.359552,-0.25921
1.61,0.578272,0.363291,-0.26244
1.62,0.592647,0.367025,-0.26569
1.63,0.607287,0.370754,-0.26896
1.64,0.622195,0.374477,-0.27225
1.65,0.637375,0.378192,-0.27556
1.66,0.65283,0.381899,-0.27889
1.67,0.668563,0.385597,-0.28224
1.68,0.684577,0.389285,-0.28561
1.69,0.700875,0.392963,-0.289
1.7,0.717462,0.396628,-0.29241
1.71,0.734339,0.40028,-0.29584
1.72,0.751511,0.403919,-0.29929
1.73,0.768981,0.407543,-0.30276
1.74,0.786752,0.411151,-0.30625
1.75,0.804828,0.414741,-0.30976
1.76,0.823211,0.418314,-0.31329
1.77,0.841906,0.421868,-0.31684
1.78,0.860915,0.425401,-0.32041
1.79,0.880243,0.428913,-0.324
1.8,0.899892,0.432402,-0.32761
1.81,0.919866,0.435868,-0.33124
1.82,0.940168,0.439308,-0.33489
1.83,0.960803,0.442723,-0.33856
1.84,0.981773,0.44611,-0.34225
1.85,1.00308,0.449469,-0.34596
1.86,1.02473,0.452798,-0.34969
1.87,1.04673,0.456095,-0.35344
1.88,1.06908,0.459361,-0.35721
1.89,1.09178,0.462592,-0.361
1.9,1.11483,0.465789,-0.36481
1.91,1.13825,0.468949,-0.36864
